S.NO,DATE/TIME,TYPE,FAULT,BATT VOLT,BATT CURR,LOAD VOLT,LOAD CURR,PH1_V,PH1_I,PH1_F,PH2_V,PH2_I,PH2_F,PH3_V,PH3_I,PH3_F,HS1_TEMP,BATT_TEMP,EXT_TEMP
04/20/26/ 08:27:03,EVENT,  EQUALIZE MODE ,0.0,0.0,0.0,0.0,414,0.4,59.8,417,0.1,59.8,415,0.4,59.8,22,206,21
04/20/26/ 08:27:03,EVENT,   LOW DC VOLT  ,0.0,0.0,0.0,0.0,414,0.4,59.8,417,0.1,59.8,415,0.4,59.8,22,206,21
04/20/26/ 08:27:03,EVENT,      EOD       ,0.0,0.0,0.0,0.0,414,0.4,59.8,417,0.1,59.8,415,0.4,59.8,22,206,21
04/20/26/ 08:27:09,EVENT,   FLOAT MODE   ,0.0,0.0,0.0,0.0,414,0.4,59.8,417,0.1,59.8,415,0.4,59.8,22,206,21
04/20/26/ 08:27:15,EVENT,   CHARGER ON   ,0.0,0.0,4.1,3.4,414,0.4,59.8,417,0.4,59.8,415,0.3,59.8,22,206,21
04/20/26/ 08:30:15,EVENT, LOW DC CURRENT ,28.8,0.0,27.5,0.0,414,0.3,59.8,417,0.4,59.8,415,0.3,59.8,22,206,21
04/20/26/ 08:30:31,EVENT,  EXT AUX OPEN  ,28.8,0.0,27.5,0.0,413,0.3,59.8,417,0.4,59.8,415,0.4,59.8,23,206,21
04/20/26/ 08:31:13,EVENT,   EQ  INHIBIT  ,28.8,0.0,27.5,0.0,414,0.3,59.8,417,0.4,59.8,415,0.4,59.8,22,206,21
04/20/26/ 08:58:58,EVENT, LOW DC CURRENT ,29.1,0.0,27.8,0.0,401,0.1,59.8,402,0.4,59.8,404,0.4,59.8,22,19,21
04/20/26/ 09:02:58,EVENT,  EQUALIZE MODE ,31.2,0.0,30.8,0.2,422,0.1,59.9,424,0.4,59.9,425,0.4,59.9,22,19,21
04/20/26/ 09:30:20,EVENT,   LOW DC VOLT  ,24.7,0.0,23.7,3.0,369,6.5,59.8,369,6.8,59.8,371,7.0,59.8,28,19,22
04/20/26/ 09:30:48,EVENT,   LOW DC VOLT  ,21.2,0.0,20.4,3.0,404,5.2,59.8,405,5.4,59.8,406,5.5,59.8,28,18,22
04/20/26/ 09:31:30,EVENT,   LOW DC VOLT  ,25.1,0.0,24.2,3.0,397,6.7,59.8,398,6.8,59.8,401,7.0,59.8,27,17,22
04/20/26/ 09:32:51,EVENT,   FLOAT MODE   ,24.8,0.0,23.9,3.0,407,5.4,61.3,437,6.0,61.3,435,6.2,60.6,28,18,22
04/20/26/ 09:33:52,EVENT,   LOW DC VOLT  ,26.0,0.0,25.1,3.0,399,6.8,59.9,399,7.0,59.9,401,7.3,59.9,28,17,22
04/20/26/ 09:34:00,EVENT,   LOW DC VOLT  ,25.8,0.0,22.9,3.0,400,6.2,59.9,401,6.3,59.9,402,6.5,59.9,28,17,22
04/20/26/ 09:34:43,EVENT,   LOW DC VOLT  ,25.8,0.0,24.7,3.0,366,6.8,59.8,367,7.0,59.8,368,7.1,59.8,29,18,22
04/20/26/ 10:04:10,EVENT, LOW DC CURRENT ,0.0,0.0,0.3,0.0,411,0.4,59.8,412,0.1,59.8,415,0.4,59.8,27,19,23
04/20/26/ 10:04:10,EVENT,   FLOAT MODE   ,0.0,0.0,0.3,0.0,411,0.4,59.8,412,0.1,59.8,415,0.4,59.8,27,19,23
04/20/26/ 10:04:10,EVENT,   LOW DC VOLT  ,0.0,0.0,0.3,0.0,411,0.4,59.8,412,0.1,59.8,415,0.4,59.8,27,19,23
04/20/26/ 10:04:10,EVENT,      EOD       ,0.0,0.0,0.3,0.0,411,0.4,59.8,412,0.1,59.8,415,0.4,59.8,27,19,23
04/20/26/ 10:04:21,EVENT,   CHARGER ON   ,0.0,0.0,2.9,0.0,411,0.4,59.8,412,0.1,59.8,415,0.3,59.8,27,19,23
04/20/26/ 10:08:13,EVENT, LOW DC CURRENT ,0.1,0.0,3.1,0.0,396,0.4,59.9,397,0.1,59.9,398,0.4,59.9,27,19,23
04/20/26/ 10:08:13,EVENT,   FLOAT MODE   ,0.1,0.0,3.1,0.0,396,0.4,59.9,397,0.1,59.9,398,0.4,59.9,27,19,23
04/20/26/ 10:08:13,EVENT,   LOW DC VOLT  ,0.1,0.0,3.1,0.0,396,0.4,59.9,397,0.1,59.9,398,0.4,59.9,27,19,23
04/20/26/ 10:08:13,EVENT,      EOD       ,0.1,0.0,3.1,0.0,396,0.4,59.9,397,0.1,59.9,398,0.4,59.9,27,19,23
04/20/26/ 10:08:24,EVENT,   CHARGER ON   ,0.0,0.0,3.1,0.0,397,0.3,59.8,397,0.1,59.8,399,0.3,59.8,27,19,23
04/20/26/ 10:09:05,EVENT,   LOW DC VOLT  ,25.8,0.0,25.5,0.0,396,0.1,59.9,398,0.4,59.9,398,0.3,59.9,27,63,23
04/20/26/ 10:09:06,EVENT, BATT OVER TEMP ,25.8,0.0,25.5,0.2,397,0.1,59.9,397,0.4,59.9,399,0.4,59.9,27,64,23
04/20/26/ 10:09:29,EVENT,      EOD       ,1.1,0.0,10.0,0.0,397,0.4,59.9,397,0.1,59.9,399,0.1,59.9,27,99,23
04/20/26/ 10:09:42,EVENT,   CHARGER ON   ,0.6,0.0,9.9,0.0,396,0.4,59.9,397,0.1,59.9,398,0.1,59.9,27,206,23
04/20/26/ 10:10:58,EVENT,  EQUALIZE MODE ,30.9,0.0,30.5,0.2,396,0.1,59.9,397,0.4,59.9,398,0.4,59.9,27,206,23
01/01/00/ 10:15:01,EVENT,     AC FAIL    ,15.0,0.0,2.8,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,27,206,23
04/20/26/ 10:15:06,EVENT, LOW DC CURRENT ,13.9,0.0,2.8,2.7,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,27,206,23
04/20/26/ 10:15:06,EVENT,  EQUALIZE MODE ,13.9,0.0,2.8,2.7,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,27,206,23
04/20/26/ 10:15:06,EVENT,   LOW DC VOLT  ,13.9,0.0,2.8,2.7,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,27,206,23
04/20/26/ 10:15:06,EVENT,      EOD       ,13.9,0.0,2.8,2.7,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,27,206,23
04/20/26/ 10:15:11,EVENT, LOW DC CURRENT ,15.5,0.0,2.8,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,27,206,23
04/20/26/ 10:15:11,EVENT,   FLOAT MODE   ,15.5,0.0,2.8,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,27,206,23
01/01/00/ 15:34:38,EVENT,     AC FAIL    ,25.9,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,30,207,30
01/01/00/ 15:34:38,EVENT, AC BREAKER OPN ,25.9,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,30,207,30
07/20/26/ 14:13:07,EVENT, LOW DC CURRENT ,25.9,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,30,207,30
07/20/26/ 14:13:07,EVENT,   FLOAT MODE   ,25.9,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,30,207,30
07/20/26/ 14:13:07,EVENT,   LOW DC VOLT  ,25.9,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,30,207,30
07/20/26/ 14:13:07,EVENT,      EOD       ,25.9,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,30,207,30
01/01/00/ 14:13:58,EVENT,     AC FAIL    ,25.9,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,30,207,30
